Software_Package,Alias,count
Astropy,10.1051/0004-6361/201322068,10
Astropy,arXiv:1307.6212,5
Astropy,arXiv:1801.02634,2
Astropy,ascl:1207.007,1
Astropy,ascl:1304.002,2
Astropy,doi.org/10.1051/0004-6361/201322068,2
RADMC-3D,10.1051/0004-6361:20031768,3
RADMC-3D,10.1051/0004-6361:20040017,1
RADMC-3D,ascl:1108.016,1
RADMC-3D,ascl:1202.015,5
SAOImage DS9,ascl:0003.002,6
Spec2d,arXiv:1203.3192,17
Spec2d,ascl:1203.003,4
WCSTools,ascl:1109.015,1
