,Alias,Software_Package,Identifier,Highlight,Citation,Bibcode,Alternate_Bibcode,BibGroup,Publisher,Article_ID,DOI,Pub_Year,Pub_Date,Author,Title
3703,DS9,SAOImage DS9,0,"backends (ChIPS, <em>DS9</em> Iiascl:0003.0021) as well as the popular matplotlib6. When using matplotlib",True,2015ASPC..495..313L,2015adass..24..313L,Chandra/Technical|CfA,Astronomical Data Analysis Software an Systems XXIV (ADASS XXIV),2015adass..24..313L|2015ASPC..495..313L|2015adass..24..313L,,2015,2015-09-00,"Laurino, O.","Sherpa. On the Move to Open Collaborative, Development"
3704,DS9,SAOImage DS9,0,"-reduction was performed correctly. Using <em>DS9</em> software, we manually omitted out-of-focus data, and masked extended defects",False,2013AASP....3...38J,2013arXiv1309.0642J,,Advances in Astronomy and Space Physics,2013arXiv1309.0642J|2013AASP....3...38J|arXiv:1309.0642|2013arXiv1309.0642J,,2013,2013-08-00,"Joveini, R.",Using THELI pipeline in order to reduce Abell 226 multi-band optical images
3705,DS9,SAOImage DS9,0,taken with the conventional geometry of the DAC by using the methods outlined earlier for micro-<em>DS9</em> and macro,False,2015JAP...118f5903S,,,Journal of Applied Physics,2015JAP...118f5903S|10.1063/1.4927727|10.1063/1.4927727,10.1063/1.4927727,2015,2015-08-00,"Singh, Anil K.",Strength of polycrystalline niobium from high-pressure x-ray diffraction data: A comparison of results from line-width and line-shift analyses
3706,DS9,SAOImage DS9,0,"Online resources Software for viewing and analyzing FITS-formatimages (FITSView, <em>DS9,</em> and IRIS)",True,2004JAVSO..33...71R,,PhysEd,Journal of the American Association of Variable Star Observers (JAAVSO),2004JAVSO..33...71R,,2004,2004-12-00,"Richwine, P.",Analyzing Online Data On Variable Stars: An Authentic Research Experience for Teachers
3707,DS9,SAOImage DS9,0,The magnitude of observation images are identified by SAOImage <em>DS9</em> which is developed for an astronomical,False,2016SPIE.9684E..21G,,,"8th International Symposium on Advanced Optical Manufacturing and Testing Technologies: Optical Test, Measurement Technology, and Equipment",2016SPIE.9684E..21G|10.1117/12.2242811|10.1117/12.2242811,10.1117/12.2242811,2016,2016-09-00,"Gao, Wei",The estimation method on diffusion spot energy concentration of the detection system
3708,DS9,SAOImage DS9,0,"The possibility of using&#x2F;adapting a previous existing tool (like <em>DS9,</em> XIMAGE or GIPSY)",True,2004ASPC..314..517S,2004adass..13..517S,,Astronomical Data Analysis Software and Systems (ADASS) XIII,2004adass..13..517S|2004ASPC..314..517S|2004adass..13..517S,,2004,2004-07-00,"Sánchez, S. F.","E3D, The Euro3D Visualization Tool"
3709,DS9,SAOImage DS9,0,"-explosion V , I, and Ks -band images were color-combined using the <em>DS9</em> tool2 and are shown in Fig. 1.",False,2010arXiv1011.5494M,,,arXiv e-prints,2010arXiv1011.5494M|arXiv:1011.5494,,2010,2010-11-00,"Mattila, Seppo",The Disappearance of the Red Supergiant Progenitor of Supernova 2008bk
3710,DS9,SAOImage DS9,0,"has made use of SAOImage <em>DS9,</em> developed by Smithsonian Astrophysical Observatory. References Burningham, B.,",False,2013MmSAI..84..976S,,,Memorie della Societa Astronomica Italiana,2013MmSAI..84..976S,,2013,2013-00-00,"Smith, L.","A new UKIDSS proper motion survey and key early results, including new benchmark systems"
3711,DS9,SAOImage DS9,0,with SAO Image <em>DS9.</em> A rough indication of the brightness of the meteor was done by comparing the break,False,2014pim4.conf...30B,,,"Proceedings of the International Meteor Conference, Giron, France, 18-21 September 2014",2014pim4.conf...30B,,2014,2014-02-00,"Bettonvil, Felix",High resolution photographic imaging
3712,DS9,SAOImage DS9,0,CFITSIO cfh12k cirred ctio cutout Cython deitab Distribute Docutils <em>DS9</em> esowfi finder fitsutil Freetype,False,2014ASPC..485..335H,2014adass..23..335H,,Astronomical Data Analysis Software and Systems XXIII,2014adass..23..335H|2014ASPC..485..335H|2014adass..23..335H,,2014,2014-05-00,"Hirst, P.",Ureka: A Distribution of Python and IRAF Software for Astronomy
